--------------------------------------------------------------------------
[[14994,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.135651
[PI-INFO] Total time,0.135657
[PI-INFO] Total time,0.135663
[PI-INFO] Total time,0.135667
[PI-INFO] Total time,0.135671
[PI-INFO] Total time,0.135674
[PI-INFO] Total time,0.135678
[PI-INFO] Total time,0.135681
[PI-INFO] Total time,0.135685
[PI-INFO] Total time,0.135689
[PI-INFO] Total time,0.135694
[PI-INFO] Total time,0.135699
[PI-INFO] Total time,0.135703
[PI-INFO] Total time,0.135707
[PI-INFO] Total time,0.135710
[PI-INFO] Total time,0.135714
[PI-INFO] Total time,0.135719
[PI-INFO] Total time,0.135723
[PI-INFO] Total time,0.135727
[PI-INFO] Total time,0.135733
[PI-INFO] Total time,0.135737
[PI-INFO] Total time,0.135741
[PI-INFO] Total time,0.135745
[PI-INFO] Total time,0.135749
[PI-INFO] Total time,0.135753
[PI-INFO] Total time,0.135757
[PI-INFO] Total time,0.135762
[PI-INFO] Total time,0.135767
[PI-INFO] Total time,0.135772
[PI-INFO] Total time,0.135776
[PI-INFO] Total time,0.135780
[PI-INFO] Total time,0.135784
[PI-INFO] Total time,0.135787
[PI-INFO] Total time,0.135792
[PI-INFO] Total time,0.135797
[PI-INFO] Total time,0.135802
[PI-INFO] Total time,0.135806
[PI-INFO] Total time,0.135811
[PI-INFO] Total time,0.135814
[PI-INFO] Total time,0.135818
[PI-INFO] Total time,0.135822
[PI-INFO] Total time,0.135825
[PI-INFO] Total time,0.135833
[PI-INFO] Total time,0.135838
[PI-INFO] Total time,0.135843
[PI-INFO] Total time,0.135847
[PI-INFO] Total time,0.135851
[PI-INFO] Total time,0.135855
[PI-INFO] Total time,0.135857
[PI-INFO] Total time,0.135861
[PI-INFO] Total time,0.135865
[PI-INFO] Total time,0.135869
[PI-INFO] Total time,0.135873
[PI-INFO] Total time,0.135878
[PI-INFO] Total time,0.135882
[PI-INFO] Total time,0.135887
[PI-INFO] Total time,0.135890
[PI-INFO] Total time,0.135894
[PI-INFO] Total time,0.135898
[PI-INFO] Total time,0.135902
[PI-INFO] Total time,0.135907
[PI-INFO] Total time,0.135913
[PI-INFO] Total time,0.135917
[PI-INFO] Total time,0.135921
[PI-INFO] Total time,0.135925
[PI-INFO] Total time,0.135929
[PI-INFO] Total time,0.135933
[PI-INFO] Total time,0.135937
[PI-INFO] Total time,0.135942
[PI-INFO] Total time,0.135948
[PI-INFO] Total time,0.135952
[PI-INFO] Total time,0.135956
[PI-INFO] Total time,0.135960
[PI-INFO] Total time,0.135964
[PI-INFO] Total time,0.135968
[PI-INFO] Total time,0.135972
[PI-INFO] Total time,0.135977
[PI-INFO] Total time,0.135982
[PI-INFO] Total time,0.135987
[PI-INFO] Total time,0.135991
[PI-INFO] Total time,0.135995
[PI-INFO] Total time,0.135999
[PI-INFO] Total time,0.136003
[PI-INFO] Total time,0.136007
[PI-INFO] Total time,0.136031
[PI-INFO] Total time,0.136036
[PI-INFO] Total time,0.136038
[PI-INFO] Total time,0.136040
[PI-INFO] Total time,0.136041
[PI-INFO] Total time,0.136043
[PI-INFO] Total time,0.136046
[PI-INFO] Total time,0.136050
