--------------------------------------------------------------------------
[[19547,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.140072
[PI-INFO] Total time,0.140080
[PI-INFO] Total time,0.140084
[PI-INFO] Total time,0.140092
[PI-INFO] Total time,0.140097
[PI-INFO] Total time,0.140101
[PI-INFO] Total time,0.140105
[PI-INFO] Total time,0.140110
[PI-INFO] Total time,0.140114
[PI-INFO] Total time,0.140119
[PI-INFO] Total time,0.140126
[PI-INFO] Total time,0.140131
[PI-INFO] Total time,0.140135
[PI-INFO] Total time,0.140140
[PI-INFO] Total time,0.140144
[PI-INFO] Total time,0.140148
[PI-INFO] Total time,0.140153
[PI-INFO] Total time,0.140157
[PI-INFO] Total time,0.140161
[PI-INFO] Total time,0.140165
[PI-INFO] Total time,0.140170
[PI-INFO] Total time,0.140174
[PI-INFO] Total time,0.139548
[PI-INFO] Total time,0.140200
[PI-INFO] Total time,0.140219
[PI-INFO] Total time,0.140239
[PI-INFO] Total time,0.140256
[PI-INFO] Total time,0.140273
[PI-INFO] Total time,0.140290
[PI-INFO] Total time,0.140306
[PI-INFO] Total time,0.140323
[PI-INFO] Total time,0.140339
[PI-INFO] Total time,0.140356
[PI-INFO] Total time,0.140373
[PI-INFO] Total time,0.140389
[PI-INFO] Total time,0.140406
[PI-INFO] Total time,0.140422
[PI-INFO] Total time,0.140439
[PI-INFO] Total time,0.140455
[PI-INFO] Total time,0.140475
[PI-INFO] Total time,0.140492
[PI-INFO] Total time,0.140508
[PI-INFO] Total time,0.140525
[PI-INFO] Total time,0.140541
[PI-INFO] Total time,0.140558
[PI-INFO] Total time,0.140574
[PI-INFO] Total time,0.140590
[PI-INFO] Total time,0.140607
[PI-INFO] Total time,0.140623
[PI-INFO] Total time,0.140640
[PI-INFO] Total time,0.140656
[PI-INFO] Total time,0.140673
[PI-INFO] Total time,0.140689
[PI-INFO] Total time,0.140706
[PI-INFO] Total time,0.140733
[PI-INFO] Total time,0.140751
[PI-INFO] Total time,0.140768
[PI-INFO] Total time,0.140784
[PI-INFO] Total time,0.140801
[PI-INFO] Total time,0.140817
[PI-INFO] Total time,0.140834
[PI-INFO] Total time,0.140850
[PI-INFO] Total time,0.140867
[PI-INFO] Total time,0.140883
[PI-INFO] Total time,0.140904
[PI-INFO] Total time,0.140921
[PI-INFO] Total time,0.140938
[PI-INFO] Total time,0.140954
[PI-INFO] Total time,0.140971
[PI-INFO] Total time,0.140987
[PI-INFO] Total time,0.141004
[PI-INFO] Total time,0.141020
[PI-INFO] Total time,0.141037
[PI-INFO] Total time,0.141053
[PI-INFO] Total time,0.141070
[PI-INFO] Total time,0.141086
[PI-INFO] Total time,0.141102
[PI-INFO] Total time,0.141119
[PI-INFO] Total time,0.141135
[PI-INFO] Total time,0.141152
[PI-INFO] Total time,0.141168
[PI-INFO] Total time,0.141185
[PI-INFO] Total time,0.141201
[PI-INFO] Total time,0.141217
[PI-INFO] Total time,0.141234
[PI-INFO] Total time,0.141250
[PI-INFO] Total time,0.141267
[PI-INFO] Total time,0.141283
[PI-INFO] Total time,0.141300
[PI-INFO] Total time,0.141325
[PI-INFO] Total time,0.141342
[PI-INFO] Total time,0.141359
[PI-INFO] Total time,0.141375
[PI-INFO] Total time,0.141391
[PI-INFO] Total time,0.141408
[PI-INFO] Total time,0.141424
[PI-INFO] Total time,0.141441
[PI-INFO] Total time,0.141457
[PI-INFO] Total time,0.141474
[PI-INFO] Total time,0.141490
[PI-INFO] Total time,0.141506
[PI-INFO] Total time,0.141523
[PI-INFO] Total time,0.141539
[PI-INFO] Total time,0.141556
[PI-INFO] Total time,0.141572
[PI-INFO] Total time,0.141589
[PI-INFO] Total time,0.141620
[PI-INFO] Total time,0.141636
[PI-INFO] Total time,0.141653
[PI-INFO] Total time,0.141669
[PI-INFO] Total time,0.141686
[PI-INFO] Total time,0.141702
[PI-INFO] Total time,0.141719
[PI-INFO] Total time,0.141735
[PI-INFO] Total time,0.141751
[PI-INFO] Total time,0.141768
[PI-INFO] Total time,0.141784
[PI-INFO] Total time,0.141801
[PI-INFO] Total time,0.141817
[PI-INFO] Total time,0.141833
[PI-INFO] Total time,0.141850
[PI-INFO] Total time,0.141866
[PI-INFO] Total time,0.141883
[PI-INFO] Total time,0.141899
[PI-INFO] Total time,0.141915
[PI-INFO] Total time,0.141932
[PI-INFO] Total time,0.141948
[PI-INFO] Total time,0.141965
[PI-INFO] Total time,0.141981
[PI-INFO] Total time,0.141998
[PI-INFO] Total time,0.142014
[PI-INFO] Total time,0.142031
[PI-INFO] Total time,0.142047
[PI-INFO] Total time,0.142063
[PI-INFO] Total time,0.142080
[PI-INFO] Total time,0.142096
[PI-INFO] Total time,0.142113
[PI-INFO] Total time,0.142129
[PI-INFO] Total time,0.142145
[PI-INFO] Total time,0.142162
[PI-INFO] Total time,0.142178
[PI-INFO] Total time,0.142195
[PI-INFO] Total time,0.142211
