--------------------------------------------------------------------------
[[15255,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.139192
[PI-INFO] Total time,0.139214
[PI-INFO] Total time,0.139236
[PI-INFO] Total time,0.139258
[PI-INFO] Total time,0.139283
[PI-INFO] Total time,0.139306
[PI-INFO] Total time,0.139328
[PI-INFO] Total time,0.139350
[PI-INFO] Total time,0.139372
[PI-INFO] Total time,0.139395
[PI-INFO] Total time,0.139417
[PI-INFO] Total time,0.137697
[PI-INFO] Total time,0.139452
[PI-INFO] Total time,0.139457
[PI-INFO] Total time,0.139462
[PI-INFO] Total time,0.139469
[PI-INFO] Total time,0.139473
[PI-INFO] Total time,0.139478
[PI-INFO] Total time,0.139482
[PI-INFO] Total time,0.139489
[PI-INFO] Total time,0.139494
[PI-INFO] Total time,0.139499
[PI-INFO] Total time,0.139503
[PI-INFO] Total time,0.139507
[PI-INFO] Total time,0.139511
[PI-INFO] Total time,0.139515
[PI-INFO] Total time,0.139518
[PI-INFO] Total time,0.139523
[PI-INFO] Total time,0.139528
[PI-INFO] Total time,0.139532
[PI-INFO] Total time,0.139538
[PI-INFO] Total time,0.139542
[PI-INFO] Total time,0.139546
[PI-INFO] Total time,0.139550
[PI-INFO] Total time,0.139554
[PI-INFO] Total time,0.139558
[PI-INFO] Total time,0.139562
[PI-INFO] Total time,0.139567
[PI-INFO] Total time,0.139574
[PI-INFO] Total time,0.139578
[PI-INFO] Total time,0.139582
[PI-INFO] Total time,0.139587
[PI-INFO] Total time,0.139594
[PI-INFO] Total time,0.139600
[PI-INFO] Total time,0.139605
[PI-INFO] Total time,0.139609
[PI-INFO] Total time,0.139613
[PI-INFO] Total time,0.139618
[PI-INFO] Total time,0.139622
[PI-INFO] Total time,0.139626
[PI-INFO] Total time,0.139631
[PI-INFO] Total time,0.139635
[PI-INFO] Total time,0.139639
[PI-INFO] Total time,0.139649
[PI-INFO] Total time,0.139656
[PI-INFO] Total time,0.139661
[PI-INFO] Total time,0.139666
[PI-INFO] Total time,0.139670
[PI-INFO] Total time,0.139674
[PI-INFO] Total time,0.139678
[PI-INFO] Total time,0.139682
[PI-INFO] Total time,0.139685
[PI-INFO] Total time,0.139690
[PI-INFO] Total time,0.139695
[PI-INFO] Total time,0.139699
[PI-INFO] Total time,0.139703
[PI-INFO] Total time,0.139707
[PI-INFO] Total time,0.139713
[PI-INFO] Total time,0.139717
[PI-INFO] Total time,0.139720
[PI-INFO] Total time,0.139724
[PI-INFO] Total time,0.139728
[PI-INFO] Total time,0.139732
[PI-INFO] Total time,0.139737
[PI-INFO] Total time,0.139741
[PI-INFO] Total time,0.139748
[PI-INFO] Total time,0.139753
[PI-INFO] Total time,0.139757
[PI-INFO] Total time,0.139761
[PI-INFO] Total time,0.139766
[PI-INFO] Total time,0.139770
[PI-INFO] Total time,0.139779
[PI-INFO] Total time,0.139785
[PI-INFO] Total time,0.139790
[PI-INFO] Total time,0.139798
[PI-INFO] Total time,0.139802
[PI-INFO] Total time,0.139810
[PI-INFO] Total time,0.139815
[PI-INFO] Total time,0.139822
[PI-INFO] Total time,0.139827
[PI-INFO] Total time,0.139835
[PI-INFO] Total time,0.139839
[PI-INFO] Total time,0.139847
[PI-INFO] Total time,0.139852
[PI-INFO] Total time,0.139859
[PI-INFO] Total time,0.139775
[PI-INFO] Total time,0.139882
[PI-INFO] Total time,0.139905
[PI-INFO] Total time,0.139908
[PI-INFO] Total time,0.139910
[PI-INFO] Total time,0.139933
[PI-INFO] Total time,0.139956
[PI-INFO] Total time,0.139978
[PI-INFO] Total time,0.140000
[PI-INFO] Total time,0.140023
[PI-INFO] Total time,0.140048
[PI-INFO] Total time,0.140070
[PI-INFO] Total time,0.140093
[PI-INFO] Total time,0.140115
[PI-INFO] Total time,0.140138
[PI-INFO] Total time,0.140160
[PI-INFO] Total time,0.140182
[PI-INFO] Total time,0.140208
[PI-INFO] Total time,0.140233
[PI-INFO] Total time,0.140256
[PI-INFO] Total time,0.140278
[PI-INFO] Total time,0.140300
[PI-INFO] Total time,0.140322
[PI-INFO] Total time,0.140345
[PI-INFO] Total time,0.140367
[PI-INFO] Total time,0.140389
[PI-INFO] Total time,0.140414
[PI-INFO] Total time,0.140437
[PI-INFO] Total time,0.140459
[PI-INFO] Total time,0.140481
[PI-INFO] Total time,0.140503
[PI-INFO] Total time,0.140526
[PI-INFO] Total time,0.140548
[PI-INFO] Total time,0.140570
[PI-INFO] Total time,0.140595
[PI-INFO] Total time,0.140618
[PI-INFO] Total time,0.140640
[PI-INFO] Total time,0.140662
[PI-INFO] Total time,0.140685
[PI-INFO] Total time,0.140707
[PI-INFO] Total time,0.140729
[PI-INFO] Total time,0.140752
[PI-INFO] Total time,0.140777
[PI-INFO] Total time,0.140799
[PI-INFO] Total time,0.140822
[PI-INFO] Total time,0.140844
[PI-INFO] Total time,0.140866
[PI-INFO] Total time,0.140889
[PI-INFO] Total time,0.140911
[PI-INFO] Total time,0.140933
[PI-INFO] Total time,0.140958
[PI-INFO] Total time,0.140981
[PI-INFO] Total time,0.141003
[PI-INFO] Total time,0.141025
[PI-INFO] Total time,0.141048
[PI-INFO] Total time,0.141070
[PI-INFO] Total time,0.141092
[PI-INFO] Total time,0.141115
[PI-INFO] Total time,0.141140
[PI-INFO] Total time,0.141162
[PI-INFO] Total time,0.141185
[PI-INFO] Total time,0.141207
[PI-INFO] Total time,0.141229
[PI-INFO] Total time,0.141251
[PI-INFO] Total time,0.141274
[PI-INFO] Total time,0.141296
[PI-INFO] Total time,0.141321
[PI-INFO] Total time,0.141344
[PI-INFO] Total time,0.141366
[PI-INFO] Total time,0.141393
[PI-INFO] Total time,0.141398
[PI-INFO] Total time,0.141399
[PI-INFO] Total time,0.141401
[PI-INFO] Total time,0.141403
[PI-INFO] Total time,0.141425
[PI-INFO] Total time,0.141428
[PI-INFO] Total time,0.141429
[PI-INFO] Total time,0.141450
[PI-INFO] Total time,0.141454
[PI-INFO] Total time,0.141476
[PI-INFO] Total time,0.141479
[PI-INFO] Total time,0.141480
[PI-INFO] Total time,0.141501
[PI-INFO] Total time,0.141504
[PI-INFO] Total time,0.139886
[PI-INFO] Total time,0.141516
[PI-INFO] Total time,0.141521
[PI-INFO] Total time,0.141526
[PI-INFO] Total time,0.141530
[PI-INFO] Total time,0.141534
[PI-INFO] Total time,0.141539
[PI-INFO] Total time,0.141543
[PI-INFO] Total time,0.141547
[PI-INFO] Total time,0.141552
[PI-INFO] Total time,0.141556
[PI-INFO] Total time,0.141560
[PI-INFO] Total time,0.141565
[PI-INFO] Total time,0.141569
[PI-INFO] Total time,0.141573
[PI-INFO] Total time,0.141577
[PI-INFO] Total time,0.141582
[PI-INFO] Total time,0.141586
[PI-INFO] Total time,0.141594
[PI-INFO] Total time,0.141598
[PI-INFO] Total time,0.141606
[PI-INFO] Total time,0.141611
[PI-INFO] Total time,0.141617
[PI-INFO] Total time,0.141622
[PI-INFO] Total time,0.141630
[PI-INFO] Total time,0.141635
[PI-INFO] Total time,0.141641
[PI-INFO] Total time,0.141646
[PI-INFO] Total time,0.141653
[PI-INFO] Total time,0.141658
[PI-INFO] Total time,0.141668
[PI-INFO] Total time,0.141679
[PI-INFO] Total time,0.141684
[PI-INFO] Total time,0.141690
